,hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
122098,33NOQL7T9PZT4OBV83J1GSQARELZ82,ZIk7N-xHvF4.004.mp4,io0aNQE8En8.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
4138,3R15W654VETF53UNFW9SU40C61PLQM,_Py_lytyY5A.005.mp4,j5fXaXrNPoA.003.mp4,LEFT,DON'T KNOW,RIGHT,DON'T KNOW,LEFT,RIGHT
154265,3ZURAPD289N5O70A86GFYQNK1UR1FK,VuadgOz6T7s.000.mp4,vhugKRUnd-c.005.mp4,RIGHT,DON'T KNOW,RIGHT,RIGHT,DON'T KNOW,RIGHT
165468,3I6NF2WGIHWAQPXOKDO9J10DEYEG5G,ASDpn9yOYAo.004.mp4,FvjIziLzffo.004.mp4,RIGHT,LEFT,RIGHT,LEFT,RIGHT,RIGHT
57270,3W31J70BATW0RW2MPEWWVZYGDVVCKZ,tcmYlyeqwuI.002.mp4,sIfHl2N8Hkg.004.mp4,DON'T KNOW,RIGHT,LEFT,LEFT,RIGHT,DON'T KNOW
137816,39N6W9XWREN8SD78VFT6UYY6937GYL,NF8nb3SQPNg.002.mp4,jz9kgvYbBYA.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
106793,3CVDZS288I02KWMZ1SZDIIBNZFPMF0,c2LeNguVNrI.002.mp4,7ZnijRlK5-E.005.mp4,LEFT,DON'T KNOW,RIGHT,RIGHT,DON'T KNOW,LEFT
131070,3N3WJQXELTQYDKS2DLJRYM29Q5TL2A,S1AEj1kO5dc.000.mp4,mpXOSY5dW7c.005.mp4,RIGHT,RIGHT,RIGHT,DON'T KNOW,DON'T KNOW,RIGHT
45442,3IKDQS3DQF09L1CYPBBKIJJ3LRWICK,CRLsCyMfskE.003.mp4,FNHMXPaHll0.002.mp4,LEFT,LEFT,RIGHT,LEFT,RIGHT,LEFT
139753,3G4VVJO6P0GJLLBQUJI2FZXNCFMPK4,4nir0YtjHVs.001.mp4,BOOMkDl8JwA.005.mp4,RIGHT,RIGHT,LEFT,LEFT,LEFT,LEFT
178887,3IKDQS3DQF09L1CYPBBKIJJ3LS2CIM,RF3JnDmv8WY.005.mp4,YGrCXe2-fVk.004.mp4,RIGHT,LEFT,RIGHT,RIGHT,LEFT,RIGHT
76791,3MQKOF1EE3O1RO2HEOAA3GATL4EDWY,X1kqn3XDFRw.000.mp4,EelHLfeSJfM.004.mp4,LEFT,LEFT,LEFT,LEFT,RIGHT,LEFT
36588,3OEWW2KGQKBTMFTFN2J0MMX7I1WDO1,9mAw0B-mEPQ.001.mp4,vZPLbzF0aSg.001.mp4,LEFT,RIGHT,LEFT,LEFT,DON'T KNOW,LEFT
43914,3RWO3EJELI9HFKP4M9CKAK1O38ZP1C,JFKZEGDhcRs.003.mp4,dNXqs5HNijI.002.mp4,RIGHT,LEFT,RIGHT,RIGHT,RIGHT,LEFT
148239,3KTZHH2ONJFT5HCCTET78QU1C14M8R,jnEHHvlBgxE.001.mp4,Etfh8X-ECtY.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,DON'T KNOW,RIGHT
70804,3NBFJK3IOIIWYZ36PSK8S704VUQOG2,HP8f3oqJwz0.002.mp4,Nv0-x4K9YFI.003.mp4,RIGHT,LEFT,LEFT,RIGHT,RIGHT,LEFT
182892,3HEADTGN2QSID9LH6F0YM38JTLARVT,ZGox7tevC6A.005.mp4,41NNb7cucVo.003.mp4,RIGHT,RIGHT,RIGHT,LEFT,LEFT,RIGHT
